code tray col row diam height  codex a.m10 a.b10 a.m20 a.b20 a.m30 a.b30 a.m40 a.b40 a.m50 a.b50 a.m60 a.b60 a.m60p a.b60p codey l.m10 l.b10 l.m20 l.b20 l.m30 l.b30 l.m40 l.b40 l.m50 l.b50 l.m60 l.b60 l.m60p l.b60p m.m10 m.b10 m.m20 m.b20 m.m30 m.b30 m.m40 m.b40 m.m50 m.b50 m.m60 m.b60 m.m60p m.b60p
30 6 G  8 492 57  30  8255    0 11365    0  9763 0  9040 0  9312 0  2002 0    0 0   30 2  0 2 0 2 0 2 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 
31 6 G  9 465 34  31  9652    0 12821    0 10782 0  3849 0     0 0     0 0    0 0   31 6  0 3 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
32 6 G 10 460 28  32 12611  374  9929    0  9819 0     0 0     0 0     0 0    0 0   32 9  2 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
33 7 D  3 347 42  33  4285    0 14474    0  7748 0 10332 0  3556 0     0 0    0 0   33 2  0 3 0 2 0 3 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 
34 7 D  4 470 66  34     0    0  6245    0 12164 0 14490 0 10654 0  9788 0 2540 0   34 0  0 1 0 2 0 3 0 2 0 3 0 3 0 4 0 1 0 0 0 0 0 0 0 0 0 0 0 
35 7 D  5 418 49  35     0    0  5430    0 15711 0 12314 0  6322 0     0 0    0 0   35 0  0 1 0 3 0 3 0 4 0 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0 0 0 
36 7 D  6 486 43  36  6754    0 18995    0  9841 0 13562 0  5831 0     0 0    0 0   36 2  0 3 0 2 0 3 0 3 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 
37 7 D  7 469 39  37  6411    0 12365    0 13579 0 10226 0     0 0     0 0    0 0   37 2  0 2 0 3 0 4 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 
38 7 D  8 433 59  38     0    0 15342    0  8084 0  8507 0  9885 0  3240 0    0 0   38 0  0 4 0 2 0 2 0 3 0 4 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 
39 7 D  9 475 40  39  9321    0 14523    0  8852 0 13346 0     0 0     0 0    0 0   39 2  0 3 0 2 0 5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
